OrderID,PlacedByID,BookISBN,Quantity,DatePlacedOn,DeliveryDate,Status,ShippingCost,Taxes,TotalCost
1,1,9780446359207,2,8/26/23,3/28/23,Pending,$57.23 ,$186.53 ,"$8,443.95 "
2,2,9780380710829,5,12/8/23,7/7/23,Pending,$75.82 ,$195.96 ,"$9,032.33 "
3,3,9780679729976,4,9/17/23,7/26/23,Fulfilled,$72.29 ,$113.42 ,"$8,819.34 "
4,4,9780571201150,4,11/25/23,10/14/23,Fulfilled,$85.05 ,$174.10 ,"$9,767.27 "
5,5,9780452281325,2,3/3/23,6/10/23,Pending,$97.71 ,$175.05 ,"$8,026.31 "
6,6,9780385603102,4,4/25/23,2/1/23,Fulfilled,$64.93 ,$198.49 ,"$7,087.65 "
7,7,9780451527882,1,2/4/23,12/2/23,Pending,$66.37 ,$134.10 ,"$7,253.49 "
8,8,9780385495172,3,6/28/23,12/14/22,Pending,$89.43 ,$161.75 ,"$6,719.74 "
9,9,9780553381665,3,9/29/23,9/9/23,Fulfilled,$64.73 ,$172.04 ,"$6,729.51 "
10,10,9780312982515,4,2/20/23,5/16/23,Fulfilled,$99.80 ,$140.72 ,"$6,752.50 "